,adam,adams,air,aloha,alright,away,backlash,bacon,boy,cancer,capacity,card,care,career,checklist,classmate,climb,cocacola,comfort,conan,conscience,constant,construction,contradiction,crack,cub,decisions,deprive,diminish,duty,ethics,existence,fake,fewer,flip,fruiti,fun,georgia,grandmother,grief,grow,human,iii,inflation,inmates,instead,kid,lesson,likely,line,marshall,materials,mean,members,mention,methodical,milwaukee,minutes,mountain,news,northeastern,objectives,overly,palestinians,paradigm,paradoxically,paris,pass,pat,piano,pigeon,popular,possibility,potential,price,proclaim,provide,purpose,recommend,remarkable,reproduction,responses,retire,revolution,ring,rockstar,selfconfidence,short,silver,small,sniff,solipsism,solve,soul,space,sunbeam,suppose,swallow,teach,teachers,theyd,time,transcript,ultimately,uniform,unless,ut,webbys,wonderful,writers,yeah
contradiction,2.5,0.2,0.0,0.0,0.0,2.1,0.1,0.0,0.0,0.0,0.1,0.0,0.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.2,2.3,0.0,0.0,0.0,0.3,0.0,0.1,0.2,0.9,0.0,0.0,6.2,0.2,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.6,0.1,0.0,0.0,0.2,0.0,0.9,0.1,0.1,0.1,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,1.1,0.3,0.2,0.0,0.9,0.0,0.8,1.3,0.0,4.1,0.0,0.1,0.0,0.7,0.0,0.0,0.6,0.2,0.0
crack,0.9,0.1,2.1,0.0,1.2,4.6,0.0,0.1,1.3,0.2,0.2,0.2,2.8,3.6,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.5,0.2,0.0,0.1,0.0,0.0,0.0,0.8,0.0,2.3,0.2,3.6,2.1,0.0,0.0,0.1,2.8,5.3,0.4,0.5,1.7,0.0,0.0,6.6,1.4,3.0,0.0,0.1,1.2,0.3,2.8,0.8,0.0,0.0,0.0,0.0,0.0,0.3,1.3,0.1,0.0,0.0,0.2,1.2,0.5,0.1,0.2,1.3,1.3,0.0,0.1,0.0,0.0,0.6,1.0,0.4,0.0,0.1,2.3,0.3,2.2,0.4,0.0,0.3,0.4,0.8,0.0,0.8,0.3,4.8,0.2,0.1,24.8,0.1,0.4,0.2,0.4,0.1,0.0,1.0,0.3,2.4
cub,0.0,0.0,0.0,0.0,1.1,7.0,0.0,0.0,0.0,1.1,0.0,0.0,0.1,7.3,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,2.6,0.2,0.0,0.0,0.0,1.1,1.9,0.4,1.1,1.5,0.0,0.0,0.6,4.4,0.0,0.0,0.0,1.2,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.2,2.2,0.0,0.1,0.0,2.5,0.4,0.1,15.2,0.0,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.0
decisions,0.2,0.5,5.5,0.6,1.5,10.0,0.1,0.3,2.1,8.1,2.2,4.2,8.7,15.7,0.0,0.4,2.0,0.1,2.1,1.8,0.5,2.4,0.2,0.1,0.3,0.0,0.0,0.9,0.6,0.9,0.1,0.7,0.4,0.8,0.0,0.0,3.6,1.7,2.1,0.1,11.1,13.8,0.0,1.0,0.0,7.8,6.2,4.9,2.5,11.1,0.1,0.1,28.7,5.5,4.8,0.5,0.0,5.3,1.2,3.0,0.0,0.2,0.0,0.4,0.2,0.1,0.2,6.5,0.1,0.3,0.0,0.3,2.2,2.2,3.1,0.0,4.4,4.6,0.3,1.0,0.9,0.0,1.4,3.9,1.0,0.0,1.9,5.1,2.4,12.3,0.0,0.0,3.5,2.1,2.6,0.0,1.5,0.1,10.8,5.7,2.4,71.4,1.3,6.0,1.3,2.3,0.3,0.0,9.3,0.4,1.0
deprive,0.1,0.0,0.5,0.0,0.0,2.2,0.0,0.0,0.1,0.0,0.4,0.1,2.8,0.4,0.0,0.0,0.6,0.0,0.2,0.0,1.0,0.5,0.0,0.3,0.0,0.0,0.9,0.0,0.1,1.2,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.3,8.1,0.0,0.1,0.0,1.3,0.4,2.0,0.4,2.2,1.2,0.1,6.9,0.8,0.3,0.0,0.0,0.1,0.0,0.6,0.0,0.1,0.2,0.0,0.0,0.3,0.1,1.5,0.3,0.0,0.0,0.9,0.6,0.7,0.5,0.7,1.8,2.7,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.1,1.7,0.6,1.7,0.0,0.0,0.9,1.0,0.7,0.0,0.6,0.0,2.2,0.5,0.2,13.4,0.0,0.6,0.0,0.0,0.0,0.0,1.4,0.1,0.1
diminish,0.0,0.5,0.3,0.0,0.2,1.5,0.0,0.2,0.1,0.1,0.5,0.1,1.0,0.8,0.0,0.0,0.4,0.1,1.4,0.0,0.8,0.2,0.0,0.0,0.1,0.0,0.6,0.1,0.0,0.0,0.3,0.8,0.0,0.4,0.1,0.0,0.2,0.0,0.4,0.6,1.9,7.2,0.0,0.0,0.0,1.3,0.8,0.3,2.0,1.0,0.0,0.0,6.6,0.8,0.6,0.0,0.0,1.6,0.5,0.9,0.0,0.0,0.1,0.0,1.1,0.1,0.2,1.2,0.2,0.0,0.0,0.1,0.9,0.7,0.2,0.1,1.4,1.3,0.1,0.5,0.0,0.6,0.1,0.1,0.1,0.0,0.0,2.6,0.0,1.5,0.0,0.0,0.2,0.1,0.8,0.0,0.5,0.1,1.7,0.3,0.0,13.8,0.4,0.6,0.3,0.2,0.0,0.0,0.8,0.2,0.0
duty,0.3,0.8,3.0,0.0,0.2,4.2,0.0,0.0,1.2,0.8,2.2,0.2,3.2,4.4,0.0,0.2,0.2,0.0,1.2,0.7,4.2,0.9,0.0,0.0,0.5,0.0,0.9,1.2,0.0,0.0,0.2,1.0,0.1,0.0,0.2,0.0,0.5,0.5,0.5,0.0,7.0,13.2,0.2,1.1,0.0,2.2,3.8,2.9,0.7,2.6,1.2,0.0,12.4,4.6,1.3,0.0,0.1,1.4,0.4,0.6,0.6,0.9,0.5,0.4,0.0,0.0,0.2,4.2,0.0,1.6,0.0,0.3,2.0,1.6,1.7,0.4,3.3,5.0,0.2,0.1,0.1,0.0,0.4,0.6,0.7,0.0,0.4,2.5,0.2,8.7,0.2,0.2,1.8,12.9,2.2,0.0,1.0,0.3,9.6,0.7,0.8,33.6,0.2,3.1,0.2,0.6,0.0,0.0,3.1,0.2,1.1
ethics,0.0,2.1,0.2,0.0,0.0,3.6,0.0,0.2,0.6,0.0,0.5,0.0,3.5,1.0,0.0,0.1,0.6,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.3,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.9,3.5,0.0,0.0,0.6,1.8,1.1,0.8,0.3,1.0,0.0,0.0,6.1,1.6,0.2,0.0,0.0,0.2,0.2,0.9,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,1.2,0.0,0.1,0.5,2.3,0.2,0.6,0.0,0.0,0.0,2.0,0.4,0.0,0.0,1.5,0.0,2.0,0.0,0.0,0.5,0.2,0.6,0.0,0.3,0.0,2.4,0.3,0.0,13.5,0.0,0.2,0.1,0.8,0.0,0.0,1.0,0.1,0.0
existence,0.0,0.7,1.9,0.0,0.3,7.4,0.0,0.2,3.4,1.0,3.3,0.8,3.6,3.7,0.3,0.0,1.9,0.0,3.5,0.1,1.3,1.6,1.3,0.1,0.0,0.0,0.7,0.9,0.8,1.0,0.3,0.0,0.0,0.8,0.5,0.0,1.4,0.0,0.2,0.1,6.8,14.4,0.1,1.3,0.0,5.1,6.9,1.8,2.7,5.0,0.1,1.9,17.9,1.9,1.4,0.0,0.0,1.3,0.6,3.0,0.0,1.7,0.1,0.0,1.2,0.2,0.3,6.9,0.1,0.6,0.0,0.8,0.7,1.4,1.4,0.6,2.7,4.5,0.4,0.4,0.0,0.2,0.4,0.5,0.8,0.0,1.1,2.2,0.3,6.0,0.0,0.0,2.5,2.5,3.9,0.0,4.8,0.0,7.5,3.0,0.1,37.7,0.0,0.4,0.1,1.8,0.0,0.0,2.9,1.3,0.4
fake,0.0,0.0,0.2,0.0,0.2,1.6,0.0,0.0,0.1,0.2,0.1,0.0,1.2,2.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.3,0.9,0.1,2.7,0.4,0.0,0.0,0.0,1.3,1.9,0.8,0.0,1.1,0.0,0.0,3.8,0.8,0.6,0.0,0.0,0.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1.1,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.0,0.2,1.7,0.3,0.0,0.0,0.2,0.3,0.5,0.3,0.0,1.7,0.8,0.1,0.3,0.0,0.0,0.2,0.8,0.4,0.0,0.3,0.2,1.9,0.0,0.2,7.1,0.0,0.1,0.0,0.3,0.0,0.0,1.3,0.3,0.6
fewer,0.0,0.1,1.1,0.0,0.0,4.9,0.0,0.0,0.8,0.4,1.0,0.5,2.8,4.3,0.2,0.0,1.2,0.0,1.9,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.0,0.0,0.8,0.2,0.0,0.1,0.0,1.4,0.1,0.0,0.1,4.7,4.5,0.0,0.2,0.0,1.7,6.0,0.7,1.4,2.1,0.4,0.0,8.4,2.5,0.5,0.0,0.0,1.1,1.3,2.3,0.0,0.0,0.0,0.1,0.0,0.0,0.6,2.2,0.0,0.0,0.0,0.4,0.4,0.6,0.3,0.0,1.3,0.9,0.1,0.5,0.0,0.0,0.1,0.8,0.3,0.0,0.0,1.5,0.0,2.3,0.0,0.0,1.2,1.0,0.6,0.0,1.9,0.3,3.1,1.2,0.3,22.9,0.2,0.8,0.3,1.2,0.0,0.0,1.5,0.3,0.9
flip,0.1,0.0,0.9,0.0,0.4,2.7,0.0,0.0,1.2,0.0,0.2,0.9,1.9,4.4,0.0,0.0,0.6,0.0,0.5,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.5,0.0,0.1,0.0,0.0,0.7,0.0,0.1,0.4,2.1,3.2,0.0,0.0,0.0,2.1,2.7,1.6,1.5,2.3,0.0,0.0,8.4,1.2,0.2,0.0,0.0,1.4,0.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.1,0.0,0.4,0.0,0.3,0.1,0.0,0.1,5.7,0.0,0.1,0.0,0.0,0.8,0.0,0.7,0.0,0.0,1.3,0.0,2.3,0.0,0.0,0.1,0.6,1.2,0.0,1.1,0.1,2.7,1.3,0.2,22.6,0.2,0.0,0.0,0.2,0.1,0.0,1.0,0.6,0.9
fruiti,0.0,0.1,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.2,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fun,4.0,0.5,3.6,0.0,2.8,14.0,0.2,0.0,3.2,1.7,3.9,3.2,10.7,18.1,0.8,0.4,2.0,0.0,2.1,2.5,0.1,1.0,1.0,0.7,0.8,1.2,3.6,0.3,0.2,0.5,0.3,1.4,0.8,1.4,0.7,0.0,0.0,0.2,0.9,0.3,12.8,12.3,0.0,0.2,0.0,8.6,12.8,5.4,3.1,8.4,0.0,0.7,31.3,4.0,2.5,0.0,0.0,6.2,1.6,9.8,0.2,0.1,0.1,0.1,0.2,0.1,0.3,8.0,0.1,0.0,0.0,2.0,1.6,4.8,0.9,0.2,1.8,3.2,1.9,1.3,0.1,0.1,0.6,1.3,1.4,0.3,0.3,10.2,0.3,8.0,0.0,0.0,4.2,5.6,3.8,0.0,7.6,0.6,14.8,4.3,1.2,87.1,1.0,3.2,1.3,2.5,1.8,2.1,5.8,1.3,3.1
georgia,0.1,3.6,3.7,0.0,0.0,0.7,0.0,0.0,0.5,0.0,0.9,0.0,1.1,1.2,0.0,0.0,0.3,3.5,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.5,0.0,0.0,0.3,0.1,0.0,0.0,0.2,0.0,0.6,0.0,2.1,0.9,0.0,0.0,0.0,1.0,1.2,0.1,0.1,1.9,0.0,0.1,3.3,2.0,2.2,0.0,0.7,2.9,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.1,0.0,0.0,0.0,0.2,0.0,1.3,1.0,0.0,1.1,0.5,0.0,0.5,0.0,0.1,0.6,0.9,0.0,0.0,0.1,0.4,0.8,1.3,0.0,0.0,0.0,0.1,0.1,0.0,0.7,0.0,1.7,1.3,0.8,12.4,0.2,0.1,0.5,0.1,0.0,0.0,2.7,0.5,0.0
grandmother,1.1,0.0,2.0,0.0,0.0,3.1,0.0,0.0,2.4,0.9,0.3,0.3,2.6,4.5,0.0,0.1,0.2,0.0,0.4,0.0,0.2,2.1,0.0,0.0,2.3,0.0,2.1,0.0,0.4,0.5,0.2,0.2,0.9,0.0,0.1,0.0,0.9,0.6,0.0,1.1,5.8,3.7,0.0,0.0,0.7,6.5,9.1,2.2,1.3,4.5,0.0,0.0,13.0,4.5,2.6,0.0,0.0,3.4,0.5,2.6,0.0,0.0,0.1,0.0,0.2,0.0,0.6,2.8,0.1,0.4,0.0,0.2,1.3,0.4,0.1,0.6,2.0,0.4,0.0,0.5,0.0,0.0,0.7,0.5,0.9,0.0,0.0,4.4,0.6,4.4,0.2,0.0,0.1,0.3,1.5,0.0,2.3,0.1,7.3,2.2,1.0,20.1,0.2,1.0,0.3,0.7,0.1,0.0,2.8,2.3,1.2
grief,0.3,0.0,1.7,0.0,0.0,5.3,0.0,1.0,0.3,0.2,0.1,0.2,1.4,2.4,0.0,0.0,0.8,0.0,0.8,0.0,0.1,0.3,0.0,0.0,0.2,0.0,0.1,0.0,0.6,0.0,0.0,0.1,0.1,0.1,0.4,0.0,0.3,0.0,1.1,0.0,3.7,3.5,0.0,0.0,0.0,3.0,3.6,0.6,0.6,1.8,0.0,0.4,5.7,0.8,0.1,0.0,0.0,0.5,0.7,0.4,0.0,0.0,0.1,0.0,0.2,0.0,0.0,1.1,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.4,1.6,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.3,2.6,1.8,0.0,13.6,0.0,0.2,0.1,0.4,0.3,0.0,0.5,0.3,0.1
grow,2.5,1.7,17.8,0.1,3.1,55.2,0.5,2.0,12.7,11.8,10.7,7.4,39.2,66.0,0.2,0.9,16.4,1.8,9.5,3.0,3.8,6.6,1.4,1.2,3.6,2.6,11.1,2.3,1.9,7.0,0.9,6.8,2.7,4.7,2.1,0.1,12.8,2.1,5.8,3.7,0.0,81.4,0.0,7.0,0.1,35.6,64.6,26.2,14.4,36.7,3.9,2.3,122.2,20.0,14.8,0.0,0.0,19.9,9.5,24.5,5.0,1.1,0.8,0.9,5.0,0.8,4.1,34.1,0.7,3.8,0.0,6.7,8.2,13.5,8.4,2.3,18.1,53.4,2.5,6.2,0.1,1.2,7.3,5.6,5.9,0.0,18.1,26.6,2.3,41.8,0.6,0.0,16.9,21.9,23.2,0.0,22.5,0.7,77.9,20.5,5.3,348.8,1.4,9.5,1.4,10.7,4.8,0.0,30.3,7.1,7.4
human,4.0,4.6,19.8,0.0,2.8,63.4,0.8,1.4,16.6,22.0,25.4,8.3,57.4,41.7,0.9,0.5,11.4,2.4,12.4,0.0,17.8,15.6,6.9,2.3,2.1,0.2,13.8,8.1,7.2,13.2,3.5,14.4,0.4,4.5,3.2,0.1,12.3,0.9,3.7,3.5,81.4,0.0,0.0,4.2,6.5,44.4,42.9,20.1,23.1,38.2,6.6,6.8,192.8,45.1,20.3,0.0,0.1,19.8,3.1,25.9,1.2,2.2,0.9,0.5,6.4,1.2,2.6,41.7,0.9,5.8,0.0,12.4,10.2,18.2,11.6,9.0,34.3,54.5,6.4,7.6,7.6,1.1,2.5,11.1,4.9,0.0,4.0,41.8,4.9,66.8,0.5,0.2,29.2,38.2,41.5,0.2,27.7,0.1,75.8,26.1,2.6,414.4,1.4,13.0,2.3,14.4,3.1,0.7,43.1,6.0,4.4
iii,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,1.9,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.1,0.0,4.5,0.0,0.1,0.0,0.1,0.0,0.0,0.5,0.0,0.3
inflation,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.2,0.0,2.2,0.0,1.7,3.4,0.0,0.0,0.3,0.0,2.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.1,0.0,1.3,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,7.0,4.2,0.0,0.0,0.0,0.1,0.5,0.5,0.4,0.1,0.2,0.0,5.1,1.3,2.3,0.0,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.3,2.8,2.4,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.0,0.0,1.6,0.3,1.5,0.0,1.0,0.0,0.6,0.3,0.2,19.4,0.0,0.0,0.1,0.2,0.0,0.0,0.8,0.0,0.0
inmates,0.0,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,6.5,0.0,0.0,0.0,0.2,0.0,0.0,2.4,0.1,0.0,0.0,1.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,3.6,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.2,0.0,1.4,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.5,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
instead,1.8,1.8,6.9,0.0,2.2,31.6,0.2,2.0,6.7,5.4,5.3,3.5,23.6,25.4,0.1,1.3,6.9,0.3,5.1,2.2,3.0,6.1,1.1,0.3,2.8,1.1,7.8,1.3,1.3,2.2,1.8,5.1,1.3,1.7,2.1,0.2,8.6,1.0,6.5,3.0,35.6,44.4,0.1,0.1,0.2,0.0,26.1,12.0,7.5,22.6,1.3,1.4,82.3,14.0,5.5,0.0,0.0,12.2,4.6,13.5,0.0,1.2,0.3,0.4,2.8,0.6,2.0,17.5,0.3,2.1,0.0,2.9,4.3,8.9,3.1,1.4,9.5,25.6,1.6,3.1,1.2,0.9,2.6,4.1,5.1,0.3,1.3,16.2,0.9,25.1,0.1,0.0,3.9,6.3,11.1,0.0,10.4,0.5,35.5,11.6,2.8,199.9,1.6,5.8,3.1,5.8,1.0,0.0,12.4,5.7,4.2
kid,2.5,1.4,12.7,0.0,7.3,66.9,0.0,0.2,25.7,17.2,3.7,6.7,54.8,59.8,1.4,1.3,7.2,0.0,10.2,3.0,2.8,3.6,0.0,0.0,5.3,1.9,6.2,0.4,0.8,3.8,1.1,6.9,1.9,6.0,2.7,0.1,12.8,1.2,9.1,3.6,64.6,42.9,0.0,0.5,0.0,26.1,0.0,24.5,13.5,34.8,2.4,1.1,127.6,21.8,10.5,0.0,3.6,28.2,4.2,22.6,4.8,0.1,0.5,0.5,0.4,1.2,5.6,50.5,1.6,2.5,0.0,12.4,6.4,12.3,6.0,0.7,11.3,45.6,1.6,5.1,1.5,1.9,7.2,9.3,6.0,0.0,2.7,24.2,2.4,38.6,0.9,0.0,12.6,11.7,17.0,0.0,22.6,2.1,73.3,28.7,9.3,347.4,2.9,9.1,3.4,10.5,2.6,0.0,32.2,5.2,24.2
lesson,2.6,0.9,6.1,0.1,0.9,19.0,0.2,0.0,5.7,10.1,4.3,3.1,20.1,23.7,0.3,0.2,1.3,0.0,3.6,1.2,1.5,2.3,0.3,0.1,0.4,0.4,4.9,2.0,0.3,2.9,0.8,1.8,0.8,0.7,1.6,0.1,5.4,0.1,2.2,0.6,26.2,20.1,0.0,0.5,0.0,12.0,24.5,0.0,5.4,11.5,2.1,0.8,47.3,8.9,4.0,0.0,0.1,8.6,2.0,11.7,1.0,0.3,0.1,0.1,0.5,0.8,1.2,19.5,0.0,0.6,0.0,1.3,2.0,6.9,1.6,0.2,6.5,15.5,2.5,3.2,0.9,0.1,3.3,1.8,1.1,0.3,2.1,10.5,1.9,22.8,0.0,0.0,5.0,5.3,10.6,0.0,7.0,0.5,31.2,10.0,3.3,142.5,1.5,8.0,0.4,3.1,0.5,0.7,15.2,2.3,4.7
likely,0.2,0.1,3.3,0.0,0.4,16.7,0.4,0.0,3.2,6.1,3.9,2.2,13.4,14.3,0.1,0.2,4.0,0.0,3.8,0.0,1.4,1.0,1.3,0.2,0.5,1.1,2.5,0.4,2.0,0.7,0.3,2.7,0.0,1.4,1.5,0.0,3.1,0.1,1.3,0.6,14.4,23.1,0.0,0.4,2.4,7.5,13.5,5.4,0.0,9.9,1.3,0.5,24.0,6.2,2.2,0.0,0.0,4.6,2.7,7.2,4.4,0.3,0.0,0.0,0.3,0.1,1.7,8.4,0.4,0.5,0.0,0.8,2.6,4.6,1.2,0.5,5.9,8.5,1.4,2.0,1.0,0.7,0.5,4.2,1.6,0.0,0.3,7.3,0.4,8.4,0.0,0.0,4.5,2.2,4.0,0.0,7.8,0.3,13.1,3.9,0.5,78.5,0.7,1.5,1.8,3.7,0.6,0.0,6.6,2.0,1.3
line,1.3,1.6,9.3,0.0,7.1,35.9,0.8,0.3,7.9,8.6,8.1,4.7,29.7,38.9,0.1,0.5,4.6,0.7,5.4,1.8,1.5,7.4,2.3,0.9,1.7,1.5,11.1,2.2,1.0,2.6,1.0,5.0,1.1,2.1,2.3,0.2,8.4,1.9,4.5,1.8,36.7,38.2,1.0,0.1,0.1,22.6,34.8,11.5,9.9,0.0,2.8,1.3,91.1,13.3,7.1,0.5,0.7,14.3,2.6,15.1,3.0,0.4,0.4,0.2,1.8,0.3,2.5,29.6,0.9,1.2,0.0,6.5,5.5,6.9,3.6,1.6,7.5,32.6,2.6,3.1,0.3,0.9,3.2,6.0,8.2,0.0,6.0,17.2,6.1,25.2,0.3,0.1,7.2,15.8,10.1,0.0,19.0,0.2,40.4,12.4,4.3,240.5,2.0,4.3,1.7,6.1,0.5,0.0,20.8,3.9,10.2
marshall,0.0,0.3,0.3,0.0,0.1,3.9,0.0,0.0,0.8,0.6,0.1,0.2,4.2,2.2,0.0,0.0,0.1,0.0,0.1,0.0,0.4,1.3,0.2,0.0,0.0,0.0,0.1,1.2,0.0,1.2,0.0,0.1,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,3.9,6.6,0.0,0.2,0.0,1.3,2.4,2.1,1.3,2.8,0.0,0.1,7.4,3.1,0.6,0.0,0.0,0.7,0.1,0.5,0.0,1.2,0.0,0.0,0.1,0.0,1.2,1.4,0.0,0.0,0.0,0.0,1.2,0.7,0.3,1.2,0.2,1.5,0.2,0.5,0.0,0.1,0.0,0.7,0.2,0.0,0.0,0.2,0.0,2.3,0.0,0.0,1.5,0.1,0.3,0.0,1.0,0.1,2.0,0.6,0.5,22.0,0.0,1.2,0.1,0.5,0.0,0.0,1.3,0.2,0.2
materials,0.1,0.2,0.6,0.0,0.0,2.7,0.0,1.0,0.6,0.4,1.1,0.0,2.0,2.2,0.0,0.0,0.6,0.0,1.7,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.4,2.3,6.8,0.0,0.0,0.0,1.4,1.1,0.8,0.5,1.3,0.1,0.0,3.7,1.0,0.6,0.0,0.0,0.0,0.2,0.5,0.0,2.7,0.0,0.0,0.2,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.1,0.6,1.0,0.3,1.0,2.2,0.1,0.4,0.0,0.0,0.2,0.6,0.1,0.0,0.8,1.1,0.8,2.6,0.0,0.0,1.8,0.1,1.9,0.0,0.6,0.0,5.2,2.1,0.0,11.3,0.0,0.3,0.1,0.7,2.8,0.0,1.7,0.0,0.0
mean,10.6,7.4,33.1,0.5,16.0,114.7,2.4,2.3,33.6,28.3,29.1,14.7,102.9,124.5,2.2,3.7,14.9,2.1,22.5,7.6,10.9,18.9,3.7,6.2,6.6,0.6,28.7,6.9,6.6,12.4,6.1,17.9,3.8,8.4,8.4,0.4,31.3,3.3,13.0,5.7,122.2,192.8,1.9,5.1,1.7,82.3,127.6,47.3,24.0,91.1,7.4,3.7,0.0,53.5,27.5,1.0,1.0,43.7,6.3,44.4,3.8,4.1,1.5,1.5,10.8,1.6,8.7,77.6,0.8,16.3,3.2,20.0,15.6,28.7,15.4,3.6,33.9,63.9,8.2,14.2,8.4,3.3,12.9,13.9,18.3,0.0,4.0,61.7,5.4,103.0,0.3,0.2,27.0,32.8,49.4,0.0,60.4,3.8,138.6,51.2,12.0,795.6,3.6,23.4,7.9,24.8,4.4,1.4,61.6,15.6,30.5
