,adam,adams,air,aloha,alright,away,backlash,bacon,boy,cancer,capacity,card,care,career,checklist,classmate,climb,cocacola,comfort,conan,conscience,constant,construction,contradiction,crack,cub,decisions,deprive,diminish,duty,ethics,existence,fake,fewer,flip,fruiti,fun,georgia,grandmother,grief,grow,human,iii,inflation,inmates,instead,kid,lesson,likely,line,marshall,materials,mean,members,mention,methodical,milwaukee,minutes,mountain,news,northeastern,objectives,overly,palestinians,paradigm,paradoxically,paris,pass,pat,piano,pigeon,popular,possibility,potential,price,proclaim,provide,purpose,recommend,remarkable,reproduction,responses,retire,revolution,ring,rockstar,selfconfidence,short,silver,small,sniff,solipsism,solve,soul,space,sunbeam,suppose,swallow,teach,teachers,theyd,time,transcript,ultimately,uniform,unless,ut,webbys,wonderful,writers,yeah
career,23.1,5.5,16.5,0.1,4.2,53.7,0.5,0.5,10.7,10.3,19.7,4.9,51.5,0.0,0.4,1.4,6.6,0.0,7.9,5.4,1.8,4.2,1.8,2.1,3.6,7.3,15.7,0.4,0.8,4.4,1.0,3.7,2.8,4.3,4.4,0.0,18.1,1.2,4.5,2.4,66.0,41.7,0.2,3.4,0.1,25.4,59.8,23.7,14.3,38.9,2.2,2.2,124.5,32.5,13.4,1.5,0.7,22.9,8.7,21.0,4.8,0.8,0.6,0.4,1.7,0.1,2.1,33.5,0.8,3.7,0.8,4.9,7.9,17.1,7.6,0.2,23.1,34.2,2.6,5.8,0.1,1.0,8.6,6.5,6.9,0.0,17.2,24.4,1.3,42.4,0.6,0.0,12.3,14.5,12.7,0.0,19.1,2.7,82.2,18.8,5.1,377.8,2.7,13.7,3.0,12.6,2.3,0.7,26.4,5.8,11.5
checklist,0.6,0.0,0.7,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.9,0.0,0.0,0.0,0.1,1.4,0.3,0.1,0.1,0.0,0.0,2.2,0.3,0.2,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.2,0.0,2.3,0.0,0.2,0.0,0.0,10.1,0.0,0.1,0.0,0.2,0.0,0.0,1.1,0.0,1.2
classmate,0.1,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.9,1.4,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.9,0.5,0.0,0.0,0.0,1.3,1.3,0.2,0.2,0.5,0.0,0.0,3.7,0.5,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.4,0.0,0.1,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.4,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.8,0.2,0.6,0.0,0.0,0.3,0.3,0.0,0.0,0.7,0.0,0.9,0.7,0.1,10.3,0.1,0.6,0.0,0.1,0.0,0.0,0.5,0.2,0.0
climb,0.3,0.4,4.5,0.0,0.1,8.8,0.0,0.0,2.3,4.5,2.7,1.2,6.8,6.6,0.2,0.0,0.0,0.0,2.5,0.4,0.4,0.9,0.3,0.0,0.6,0.1,2.0,0.6,0.4,0.2,0.6,1.9,0.0,1.2,0.6,0.0,2.0,0.3,0.2,0.8,16.4,11.4,0.0,0.3,0.1,6.9,7.2,1.3,4.0,4.6,0.1,0.6,14.9,3.1,1.3,0.0,1.4,1.5,24.4,2.9,1.6,0.3,0.1,0.4,0.0,0.0,1.0,12.0,0.0,0.1,0.0,1.6,1.1,2.3,1.5,0.3,3.3,2.7,0.6,0.5,0.0,0.2,0.5,3.1,1.5,0.0,0.4,5.6,0.1,14.1,0.2,0.0,2.3,2.2,7.9,0.0,2.7,0.4,9.5,2.2,0.4,79.6,0.4,0.6,1.1,2.8,0.3,0.7,2.6,1.3,0.6
cocacola,0.0,0.0,1.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.8,2.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,2.1,0.1,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1,0.0,0.1,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.8,0.0,2.4,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0
comfort,0.7,1.6,2.4,0.0,0.2,9.6,0.0,0.0,3.2,1.7,4.5,1.2,4.4,7.9,0.0,0.2,2.5,0.0,0.0,0.3,1.3,1.1,0.6,0.0,0.0,0.1,2.1,0.2,1.4,1.2,0.1,3.5,0.2,1.9,0.5,0.0,2.1,0.7,0.4,0.8,9.5,12.4,0.1,2.0,0.0,5.1,10.2,3.6,3.8,5.4,0.1,1.7,22.5,3.0,2.2,0.0,0.0,3.4,0.7,3.9,0.0,1.6,0.1,0.0,0.2,0.1,0.6,6.3,0.1,0.7,0.0,2.1,0.9,1.7,2.1,0.2,3.9,5.8,0.9,0.9,1.0,0.3,0.4,0.8,1.4,0.3,0.9,4.3,1.0,6.6,0.0,0.0,1.7,7.5,2.8,0.0,3.6,0.2,10.9,3.4,0.1,56.8,0.3,1.7,1.1,1.9,0.7,0.0,3.5,1.0,1.5
conan,0.0,0.1,0.7,0.0,0.2,2.7,0.0,0.0,0.1,0.3,0.0,0.4,1.2,5.4,0.0,0.7,0.4,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.2,3.0,1.2,0.0,1.8,0.0,0.0,7.6,1.0,1.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,1.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.3,0.0,2.7,0.0,0.0,0.0,0.1,0.2,0.0,1.0,0.0,0.8,0.7,1.0,17.0,0.5,1.4,0.0,0.3,0.0,0.0,2.6,1.1,2.8
conscience,0.1,0.6,1.3,0.0,0.4,3.5,0.0,0.0,0.0,0.4,1.4,0.2,6.3,1.8,0.0,0.0,0.4,0.3,1.3,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.5,1.0,0.8,4.2,0.7,1.3,0.0,0.2,0.1,0.0,0.1,0.1,0.2,0.1,3.8,17.8,0.0,0.0,0.0,3.0,2.8,1.5,1.4,1.5,0.4,0.1,10.9,2.2,1.3,0.0,0.0,0.6,0.3,0.7,0.0,0.4,0.5,0.0,0.0,0.1,0.2,2.7,0.0,0.5,0.0,0.2,0.7,0.7,1.3,0.1,2.6,3.7,0.2,0.4,0.0,0.1,0.2,0.8,1.1,0.0,0.4,2.6,0.1,3.4,0.0,0.0,0.3,9.0,1.4,0.0,0.4,0.1,5.1,0.9,0.5,17.0,0.0,1.6,0.1,0.6,0.0,0.0,2.6,0.3,0.0
constant,0.0,0.0,0.9,0.0,0.8,7.6,0.0,0.0,0.3,2.7,1.5,0.7,4.1,4.2,0.0,0.0,0.9,0.2,1.1,0.1,0.8,0.0,0.2,0.7,0.3,0.0,2.4,0.5,0.2,0.9,0.0,1.6,0.3,0.9,0.2,0.0,1.0,0.0,2.1,0.3,6.6,15.6,0.0,0.3,0.0,6.1,3.6,2.3,1.0,7.4,1.3,0.0,18.9,2.3,1.3,0.0,0.0,1.3,0.4,2.3,0.0,0.3,0.0,0.0,0.0,0.1,0.1,2.6,0.0,0.0,0.0,0.5,0.7,0.8,0.7,1.0,2.4,2.2,0.6,0.5,0.1,0.0,0.0,1.3,2.8,0.0,0.1,2.9,0.4,7.0,0.0,0.0,1.1,1.6,2.2,0.0,1.6,0.0,5.6,1.2,0.4,34.6,0.2,1.1,1.9,0.8,1.0,0.0,1.6,1.0,0.5
construction,0.0,0.1,1.5,0.0,0.4,0.7,0.0,0.0,0.0,0.1,0.9,0.0,0.2,1.8,0.0,0.0,0.3,0.0,0.6,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,1.4,6.9,0.0,0.0,6.0,1.1,0.0,0.3,1.3,2.3,0.2,1.0,3.7,0.4,0.2,0.5,0.0,0.2,0.1,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,0.0,0.0,0.1,0.7,0.2,0.0,1.9,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,1.3,0.5,1.3,0.0,0.0,1.7,6.4,0.5,0.0,0.1,0.0,1.4,0.1,0.0,7.4,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.2
